WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Februari
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit Infeksi dan parasit;224
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Neoplasma;32
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Endokrin, nutrisi dan gangguan metabolik;189
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Gangguan jiwa dan perilaku;23
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit yang mengenai sistem syaraf;24
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit mata dan adnexa;127
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit telinga dan mastoid;79
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem sirkulasi;224
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem pernafasan;689
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem pencernaan;425
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada kulit dan jaringan subcutaneous;139
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem musculoskletal;195
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem saluran kemih dan genital;54
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Kehamilan dan kelahiran;16
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Keadaan yang berasal dari periode perinatal;3
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Malformasi kongenital, deformasi dan kelainan chromosom;5
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;137
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Keracunan, cedera dan beberapa penyebab yang dari luar;44
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyebab morbiditas dan kematian eksternal;2
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;348
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit Infeksi dan parasit;90
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Neoplasma;7
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
