WILAYAH,KECAMATAN,NAMA FASKES (Rumah Sakit dan Puskesmas),Jenis Penyakit,Februari,latitude,longitude
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit Infeksi dan parasit,224,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Neoplasma,32,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,5,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,"Endokrin, nutrisi dan gangguan metabolik",189,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Gangguan jiwa dan perilaku,23,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit yang mengenai sistem syaraf,24,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit mata dan adnexa,127,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit telinga dan mastoid,79,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit pada sistem sirkulasi,224,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit pada sistem pernafasan,689,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit pada sistem pencernaan,425,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit pada kulit dan jaringan subcutaneous,139,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit pada sistem musculoskletal,195,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit pada sistem saluran kemih dan genital,54,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Kehamilan dan kelahiran,16,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Keadaan yang berasal dari periode perinatal,3,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,"Malformasi kongenital, deformasi dan kelainan chromosom",5,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",137,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,"Keracunan, cedera dan beberapa penyebab yang dari luar",44,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyebab morbiditas dan kematian eksternal,2,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,348,-7.25186115,112.71456194620362
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyakit Infeksi dan parasit,90,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Neoplasma,7,-7.3315249,112.69002720464968
