WILAYAH,KECAMATAN,NAMA FASKES (Rumah Sakit dan Puskesmas),Jenis Penyakit,Januari,latitude,longitude
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit Infeksi dan parasit,235.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Neoplasma,26.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,10.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,"Endokrin, nutrisi dan gangguan metabolik",281.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Gangguan jiwa dan perilaku,22.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit yang mengenai sistem syaraf,19.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit mata dan adnexa,146.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit telinga dan mastoid,90.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit pada sistem sirkulasi,307.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit pada sistem pernafasan,708.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit pada sistem pencernaan,460.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit pada kulit dan jaringan subcutaneous,141.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit pada sistem musculoskletal,200.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyakit pada sistem saluran kemih dan genital,52.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Kehamilan dan kelahiran,12.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Keadaan yang berasal dari periode perinatal,3.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,"Malformasi kongenital, deformasi dan kelainan chromosom",7.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",147.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,"Keracunan, cedera dan beberapa penyebab yang dari luar",59.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Penyebab morbiditas dan kematian eksternal,1.0,-7.25186115,112.71456194620362
Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,352.0,-7.25186115,112.71456194620362
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyakit Infeksi dan parasit,86.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Neoplasma,3.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,0.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,"Endokrin, nutrisi dan gangguan metabolik",41.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Gangguan jiwa dan perilaku,6.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyakit yang mengenai sistem syaraf,16.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyakit mata dan adnexa,39.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyakit telinga dan mastoid,26.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyakit pada sistem sirkulasi,27.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyakit pada sistem pernafasan,291.0,-7.3315249,112.69002720464968
